type,base asset,path,publishable?,indexable?,display name,title,author,keywords,summary,teaser,description,start date,end date,review date,exp folder path
page,_cms/base-assets/interior,redesign/about/index,true,true,About,About,,"justo, duo, dolores","At vero eos et accusam et justo duo dolores et ea rebum. Stet clita kasd gubergren, no sea takimata sanctus est Lorem ipsum dolor sit amet.",,"At vero eos et accusam et justo duo dolores et ea rebum. Stet clita kasd gubergren, no sea takimata sanctus est Lorem ipsum dolor sit amet.",,,,
page,_cms/base-assets/interior,redesign/about/main-campus,true,true,Main Campus,Main Campus,,"justo, duo, dolores","At vero eos et accusam et justo duo dolores et ea rebum. Stet clita kasd gubergren, no sea takimata sanctus est Lorem ipsum dolor sit amet.",,"At vero eos et accusam et justo duo dolores et ea rebum. Stet clita kasd gubergren, no sea takimata sanctus est Lorem ipsum dolor sit amet.",,,,
page,_cms/base-assets/interior,redesign/about/visit/index,true,true,Visit Us,Visit Us,,"justo, duo, dolores","At vero eos et accusam et justo duo dolores et ea rebum. Stet clita kasd gubergren, no sea takimata sanctus est Lorem ipsum dolor sit amet.",,"At vero eos et accusam et justo duo dolores et ea rebum. Stet clita kasd gubergren, no sea takimata sanctus est Lorem ipsum dolor sit amet.",,,,
page,_cms/base-assets/interior,redesign/admissions/index,true,true,Admissions,Admissions,,"justo, duo, dolores","At vero eos et accusam et justo duo dolores et ea rebum. Stet clita kasd gubergren, no sea takimata sanctus est Lorem ipsum dolor sit amet.",,"At vero eos et accusam et justo duo dolores et ea rebum. Stet clita kasd gubergren, no sea takimata sanctus est Lorem ipsum dolor sit amet.",,,,
page,_cms/base-assets/interior,redesign/admissions/apply,true,true,Apply,Apply,,"justo, duo, dolores","At vero eos et accusam et justo duo dolores et ea rebum. Stet clita kasd gubergren, no sea takimata sanctus est Lorem ipsum dolor sit amet.",,"At vero eos et accusam et justo duo dolores et ea rebum. Stet clita kasd gubergren, no sea takimata sanctus est Lorem ipsum dolor sit amet.",,,,
page,_cms/base-assets/interior,redesign/admissions/tuition/index,true,true,Tuition,Tuition,,"justo, duo, dolores","At vero eos et accusam et justo duo dolores et ea rebum. Stet clita kasd gubergren, no sea takimata sanctus est Lorem ipsum dolor sit amet.",,"At vero eos et accusam et justo duo dolores et ea rebum. Stet clita kasd gubergren, no sea takimata sanctus est Lorem ipsum dolor sit amet.",,,,
page,_cms/base-assets/interior,redesign/academics/index,true,true,Academics,Academics,,"justo, duo, dolores","At vero eos et accusam et justo duo dolores et ea rebum. Stet clita kasd gubergren, no sea takimata sanctus est Lorem ipsum dolor sit amet.",,"At vero eos et accusam et justo duo dolores et ea rebum. Stet clita kasd gubergren, no sea takimata sanctus est Lorem ipsum dolor sit amet.",,,,
page,_cms/base-assets/interior,redesign/academics/programs,true,true,Academic Programs,Academic Programs,,"justo, duo, dolores","At vero eos et accusam et justo duo dolores et ea rebum. Stet clita kasd gubergren, no sea takimata sanctus est Lorem ipsum dolor sit amet.",,"At vero eos et accusam et justo duo dolores et ea rebum. Stet clita kasd gubergren, no sea takimata sanctus est Lorem ipsum dolor sit amet.",,,,
page,_cms/base-assets/interior,redesign/students/index,true,true,Student Life,Student Life,,"justo, duo, dolores","At vero eos et accusam et justo duo dolores et ea rebum. Stet clita kasd gubergren, no sea takimata sanctus est Lorem ipsum dolor sit amet.",,"At vero eos et accusam et justo duo dolores et ea rebum. Stet clita kasd gubergren, no sea takimata sanctus est Lorem ipsum dolor sit amet.",,,,
page,_cms/base-assets/interior,redesign/students/dinning,true,true,Campus Dinning,Campus Dinning,,"justo, duo, dolores","At vero eos et accusam et justo duo dolores et ea rebum. Stet clita kasd gubergren, no sea takimata sanctus est Lorem ipsum dolor sit amet.",,"At vero eos et accusam et justo duo dolores et ea rebum. Stet clita kasd gubergren, no sea takimata sanctus est Lorem ipsum dolor sit amet.",,,,
page,_cms/base-assets/interior,redesign/students/housing,true,true,Campus Housing,Campus Housing,,"justo, duo, dolores","At vero eos et accusam et justo duo dolores et ea rebum. Stet clita kasd gubergren, no sea takimata sanctus est Lorem ipsum dolor sit amet.",,"At vero eos et accusam et justo duo dolores et ea rebum. Stet clita kasd gubergren, no sea takimata sanctus est Lorem ipsum dolor sit amet.",,,,